route,conventional_fuel_pct_base,conventional_fuel_pct_scen,gasoline_fleet_proportion,cng_fleet_proportion
29,0.9,0.5,0.17,0.83
30,0.9,0.5,0.17,0.83
31,0.9,0.5,0.17,0.83
32,0.9,0.5,0.17,0.83
43,0.9,0.5,0.17,0.83
44,0.9,0.5,0.17,0.83
45,0.9,0.5,0.17,0.83
46,0.9,0.5,0.17,0.83
47,0.9,0.5,0.17,0.83
48,0.9,0.5,0.17,0.83
51,0.9,0.5,0.17,0.83
52,0.9,0.5,0.17,0.83
17,0.9,0.5,0.17,0.83
18,0.9,0.5,0.17,0.83
21,0.9,0.5,0.17,0.83
22,0.9,0.5,0.17,0.83
19,0.9,0.5,0.17,0.83
20,0.9,0.5,0.17,0.83
60,0.9,0.5,0.17,0.83
61,0.9,0.5,0.17,0.83
76,0.9,0.5,0.17,0.83
77,0.9,0.5,0.17,0.83
33,0.9,0.5,0.17,0.83
34,0.9,0.5,0.17,0.83
78,0.9,0.5,0.17,0.83
79,0.9,0.5,0.17,0.83
35,0.9,0.5,0.17,0.83
36,0.9,0.5,0.17,0.83
80,0.9,0.5,0.17,0.83
81,0.9,0.5,0.17,0.83
37,0.9,0.5,0.17,0.83
38,0.9,0.5,0.17,0.83
39,0.9,0.5,0.17,0.83
40,0.9,0.5,0.17,0.83
82,0.9,0.5,0.17,0.83
83,0.9,0.5,0.17,0.83
41,0.9,0.5,0.17,0.83
42,0.9,0.5,0.17,0.83
53,0.9,0.5,0.17,0.83
54,0.9,0.5,0.17,0.83
110,0.9,0.5,0.17,0.83
111,0.9,0.5,0.17,0.83
112,0.9,0.5,0.17,0.83
113,0.9,0.5,0.17,0.83
114,0.9,0.5,0.17,0.83
115,0.9,0.5,0.17,0.83
116,0.9,0.5,0.17,0.83
117,0.9,0.5,0.17,0.83
118,0.9,0.5,0.17,0.83
119,0.9,0.5,0.17,0.83
120,0.9,0.5,0.17,0.83
121,0.9,0.5,0.17,0.83
122,0.9,0.5,0.17,0.83
123,0.9,0.5,0.17,0.83
128,0.9,0.5,0.17,0.83
129,0.9,0.5,0.17,0.83
130,0.9,0.5,0.17,0.83
131,0.9,0.5,0.17,0.83
132,0.9,0.5,0.17,0.83
133,0.9,0.5,0.17,0.83
136,0.9,0.5,0.17,0.83
139,0.9,0.5,0.17,0.83
140,0.9,0.5,0.17,0.83
143,0.9,0.5,0.17,0.83
144,0.9,0.5,0.17,0.83
149,0.9,0.5,0.17,0.83
150,0.9,0.5,0.17,0.83
151,0.9,0.5,0.17,0.83
152,0.9,0.5,0.17,0.83
153,0.9,0.5,0.17,0.83
154,0.9,0.5,0.17,0.83
160,0.9,0.5,0.17,0.83
161,0.9,0.5,0.17,0.83
104,0.9,0.5,0.17,0.83
105,0.9,0.5,0.17,0.83
244,0.9,0.5,0.17,0.83
245,0.9,0.5,0.17,0.83
246,0.9,0.5,0.17,0.83
247,0.9,0.5,0.17,0.83
248,0.9,0.5,0.17,0.83
249,0.9,0.5,0.17,0.83
250,0.9,0.5,0.17,0.83
251,0.9,0.5,0.17,0.83
252,0.9,0.5,0.17,0.83
253,0.9,0.5,0.17,0.83
256,0.9,0.5,0.17,0.83
257,0.9,0.5,0.17,0.83
258,0.9,0.5,0.17,0.83
259,0.9,0.5,0.17,0.83
260,0.9,0.5,0.17,0.83
261,0.9,0.5,0.17,0.83
264,0.9,0.5,0.17,0.83
265,0.9,0.5,0.17,0.83
266,0.9,0.5,0.17,0.83
267,0.9,0.5,0.17,0.83
268,0.9,0.5,0.17,0.83
269,0.9,0.5,0.17,0.83
270,0.9,0.5,0.17,0.83
271,0.9,0.5,0.17,0.83
275,0.9,0.5,0.17,0.83
276,0.9,0.5,0.17,0.83
277,0.9,0.5,0.17,0.83
278,0.9,0.5,0.17,0.83
279,0.9,0.5,0.17,0.83
280,0.9,0.5,0.17,0.83
281,0.9,0.5,0.17,0.83
282,0.9,0.5,0.17,0.83
283,0.9,0.5,0.17,0.83
284,0.9,0.5,0.17,0.83
287,0.9,0.5,0.17,0.83
288,0.9,0.5,0.17,0.83
291,0.9,0.5,0.17,0.83
292,0.9,0.5,0.17,0.83
293,0.9,0.5,0.17,0.83
294,0.9,0.5,0.17,0.83
295,0.9,0.5,0.17,0.83
296,0.9,0.5,0.17,0.83
297,0.9,0.5,0.17,0.83
298,0.9,0.5,0.17,0.83
307,0.9,0.5,0.17,0.83
308,0.9,0.5,0.17,0.83
309,0.9,0.5,0.17,0.83
310,0.9,0.5,0.17,0.83
311,0.9,0.5,0.17,0.83
312,0.9,0.5,0.17,0.83
313,0.9,0.5,0.17,0.83
314,0.9,0.5,0.17,0.83
317,0.9,0.5,0.17,0.83
318,0.9,0.5,0.17,0.83
319,0.9,0.5,0.17,0.83
320,0.9,0.5,0.17,0.83
326,0.9,0.5,0.17,0.83
327,0.9,0.5,0.17,0.83
328,0.9,0.5,0.17,0.83
